id_kalimat,kalimat_asli,klausa,aspect,sentiment,provider,timestamp
58,min kenapa susah banget daftar kartunya kartunya tidak ada paket tapi malah disuruh beli paket diisi paket pun tidak bisa karena belum aktif dichat tidak direspon,tapi malah disuruh beli paket diisi paket pun tidak bisa,Harga,Negatif,Axis,2025-12-31 17:10
59,min kenapa susah banget daftar kartunya kartunya tidak ada paket tapi malah disuruh beli paket diisi paket pun tidak bisa karena belum aktif dichat tidak direspon,belum aktif dichat tidak direspon,Layanan Pelanggan,Negatif,Axis,2025-08-26 21:53
60,kuota owsem khusus music tidak usah banyak mending pindahin ke kuota utama saja kak,kuota owsem khusus music tidak usah banyak mending pindahin ke kuota utama saja kak,Harga,Netral,Axis,2025-07-23 18:05
61,plis min benerin jaringannya kasihan sama orang lain beli paket mahal tapi jaringannya tidak ada,plis min benerin jaringannya kasihan sama orang lain beli paket mahal,Stabilitas Jaringan,Negatif,Axis,2025-05-14 10:15
62,plis min benerin jaringannya kasihan sama orang lain beli paket mahal tapi jaringannya tidak ada,tapi jaringannya tidak ada,Stabilitas Jaringan,Negatif,Axis,2025-05-14 19:33
63,axis game tidak bisa dibuat main ml aneh,axis game tidak bisa dibuat main ml aneh,Kecepatan Internet,Negatif,Axis,2025-01-03 19:55
64,sinyal ya dong diperbaikin susah kalau begini saja,sinyal ya dong diperbaikin susah kalau begini saja,Stabilitas Jaringan,Negatif,Axis,2025-04-10 17:14
65,axis bener2 kamu ya gua sudah 2x tiap beli paket sinyal hilang itu kenapa sih alah,axis bener2 kamu ya gua sudah 2x tiap beli paket sinyal hilang itu kenapa sih alah,Stabilitas Jaringan,Negatif,Axis,2025-06-11 12:04
66,hadeh sinyal hilang ilangan melulu,hadeh sinyal hilang ilangan melulu,Stabilitas Jaringan,Negatif,Axis,2025-01-17 10:33
67,tolong balikin paket saya min beli di aplikasi 32 gb dapat ya 16gb call center ditlp tidak diangkat begitu juga live chat via aplikaga bisa dipencet,tolong balikin paket saya min beli di aplikasi 32 gb dapat ya 16gb call center ditlp tidak diangkat begitu juga live chat via aplikaga bisa dipencet,Layanan Pelanggan,Negatif,Axis,2025-07-17 13:57
68,benerin jaringan lah kntd bayar sudah mahal mahal paket jaringan macan kayak tayi,benerin jaringan lah kntd bayar sudah mahal mahal paket jaringan macan kayak tayi,Stabilitas Jaringan,Negatif,Axis,2025-12-25 18:22
69,kami beli bukan meminta tolong otak klean dipakai,kami beli bukan meminta tolong otak klean dipakai,Layanan Pelanggan,Negatif,Axis,2025-11-24 11:15
70,min sinyal kamu dari semalam sampai sekarang tidak bner2,min sinyal kamu dari semalam sampai sekarang tidak bner2,Stabilitas Jaringan,Negatif,Axis,2025-02-04 11:16
71,sinyal knpaa nih asalnya biasa biasa saja sekarang jadi sering lag dan hilang tolong bnerin lah min,sinyal knpaa nih asalnya biasa biasa saja sekarang,Stabilitas Jaringan,Negatif,Axis,2025-10-07 12:38
72,sinyal knpaa nih asalnya biasa biasa saja sekarang jadi sering lag dan hilang tolong bnerin lah min,jadi sering lag,Stabilitas Jaringan,Negatif,Axis,2025-09-05 09:11
73,sinyal knpaa nih asalnya biasa biasa saja sekarang jadi sering lag dan hilang tolong bnerin lah min,dan hilang tolong bnerin lah min,Stabilitas Jaringan,Negatif,Axis,2025-08-31 22:29
74,weh kamu dengar kgk sih itu orang2 sudah pada ngeluhin jaringan,weh kamu dengar kgk sih itu orang2 sudah pada ngeluhin jaringan,Stabilitas Jaringan,Negatif,Axis,2025-06-25 21:43
75,daftar kartu baru tapi tidak bisa internet sms kuota ya tidak masuk2 bagaimana solusi ya min,daftar kartu baru,Kemudahan Akses Layanan,Netral,Axis,2025-09-30 17:55
76,daftar kartu baru tapi tidak bisa internet sms kuota ya tidak masuk2 bagaimana solusi ya min,tapi tidak bisa internet sms kuota ya tidak masuk2 bagaimana solusi ya min,Kemudahan Akses Layanan,Negatif,Axis,2025-12-21 17:09
77,jaringannya kenapa nih baru beli kouta tapi tidak bisa dipakai dan tidak berkurang samsek tolong lah di fix oyy,jaringannya kenapa nih baru beli kouta,Stabilitas Jaringan,Negatif,Axis,2025-05-15 09:30
78,jaringannya kenapa nih baru beli kouta tapi tidak bisa dipakai dan tidak berkurang samsek tolong lah di fix oyy,tapi tidak bisa dipakai,Kemudahan Akses Layanan,Negatif,Axis,2025-02-15 16:50
79,jaringannya kenapa nih baru beli kouta tapi tidak bisa dipakai dan tidak berkurang samsek tolong lah di fix oyy,dan tidak berkurang samsek tolong lah di fix oyy,Kemudahan Akses Layanan,Negatif,Axis,2025-11-09 08:22
80,min lag banget nih sayang kuota aku,min lag banget nih sayang kuota aku,Kecepatan Internet,Negatif,Axis,2025-09-17 09:19
81,kuota menambah tapi isi dompet tidak berubah memang bisa bisa paket bronet suka suka sekarang ada tambahan kuota tanpa tambahan biaya loh sudah upgrade kuota belum hari ini cek di axisnet sekarang si ke berlaku,kuota menambah,Harga,Positif,Axis,2025-05-15 21:02
82,kuota menambah tapi isi dompet tidak berubah memang bisa bisa paket bronet suka suka sekarang ada tambahan kuota tanpa tambahan biaya loh sudah upgrade kuota belum hari ini cek di axisnet sekarang si ke berlaku,tapi isi dompet tidak berubah memang bisa bisa paket bronet suka suka sekarang ada tambahan kuota tanpa tambahan biaya loh sudah upgrade kuota belum hari ini cek di axisnet sekarang si ke berlaku,Harga,Negatif,Axis,2025-03-02 18:53
83,min ini bagaimana aku beli kuota tapi tidak masuk dari kemarin padahal saldo sudah kepotong hubungin dm disuruh chat aplikasi diaplikasi tidak bisa kirim chat bagaimana sih min,min ini bagaimana aku beli kuota,Layanan Pelanggan,Negatif,Axis,2025-10-10 09:41
84,min ini bagaimana aku beli kuota tapi tidak masuk dari kemarin padahal saldo sudah kepotong hubungin dm disuruh chat aplikasi diaplikasi tidak bisa kirim chat bagaimana sih min,tapi tidak masuk dari kemarin,Layanan Pelanggan,Negatif,Axis,2025-08-28 09:39
85,min ini bagaimana aku beli kuota tapi tidak masuk dari kemarin padahal saldo sudah kepotong hubungin dm disuruh chat aplikasi diaplikasi tidak bisa kirim chat bagaimana sih min,padahal saldo sudah kepotong hubungin dm disuruh chat aplikasi diaplikasi tidak bisa kirim chat bagaimana sih min,Layanan Pelanggan,Negatif,Axis,2025-05-20 23:24
86,pengin gue grauk rasanya nih kartu sinyal dikit2 hilang tidak ada ujan tidak ada angin,pengin gue grauk rasanya nih kartu sinyal dikit2 hilang tidak ada ujan tidak ada angin,Stabilitas Jaringan,Negatif,Axis,2025-06-15 08:28
87,min bagaimana ini jaringannya hadeh benerin min main game sampai emosi sama jaringan hadeh tolong benerin min,min bagaimana ini jaringannya hadeh benerin min main game sampai emosi sama jaringan hadeh tolong benerin min,Stabilitas Jaringan,Negatif,Axis,2025-09-30 13:20
88,kuota mahal jaringan internetnya tidak stabil seringkali hilang,kuota mahal jaringan internetnya tidak stabil seringkali hilang,Harga,Negatif,Axis,2025-08-20 22:32
89,naikin lah sinyalnya ke 5g 4g mulu yang lain sudah 5g ini kartu masih saja di 4g,naikin lah sinyalnya ke 5g 4g mulu yang lain sudah 5g ini kartu masih saja di 4g,Kemudahan Akses Layanan,Negatif,Axis,2025-01-05 08:28
90,menambah kepala bapak kau jaringan tidak ada,menambah kepala bapak kau jaringan tidak ada,Stabilitas Jaringan,Negatif,Axis,2025-08-04 17:45
91,sinyal lag tidak ada perubahan dan penjelasan saatnya rating bintang 1 di playstore,sinyal lag tidak ada perubahan,Stabilitas Jaringan,Negatif,Axis,2025-12-03 23:41
92,sinyal lag tidak ada perubahan dan penjelasan saatnya rating bintang 1 di playstore,dan penjelasan saatnya rating bintang 1 di playstore,Layanan Pelanggan,Negatif,Axis,2025-10-06 08:15
93,benerin jaringan lol pura pura cuek,benerin jaringan lol pura pura cuek,Stabilitas Jaringan,Negatif,Axis,2025-07-23 21:28
94,apk axisnet sering di perbarui sinyal begitu begitu saja dari tahun ketahun tidak ada perubahan,apk axisnet sering di perbarui sinyal begitu begitu saja dari tahun ketahun tidak ada perubahan,Stabilitas Jaringan,Negatif,Axis,2025-04-17 23:39
95,ayolah sampai kapan sinyal ya benar lagi sudah 2 minggu loh kalau sinyal terus seperti ini bakalan pindah kartu semua,ayolah sampai kapan sinyal ya benar lagi sudah 2 minggu loh kalau sinyal terus seperti ini bakalan pindah kartu semua,Stabilitas Jaringan,Negatif,Axis,2025-12-06 18:23
96,nih towernya roboh apa bagaimana dari minggu lalu sinyalnya kagak ada terus,nih towernya roboh apa bagaimana dari minggu lalu sinyalnya kagak ada terus,Stabilitas Jaringan,Negatif,Axis,2025-02-10 19:26
97,sinyalnya 4g batang sinyal ya full tapi tidak bisa intertnetan kenapa sih,sinyalnya 4g batang sinyal ya full,Stabilitas Jaringan,Positif,Axis,2025-03-25 17:43
98,sinyalnya 4g batang sinyal ya full tapi tidak bisa intertnetan kenapa sih,tapi tidak bisa intertnetan kenapa sih,Stabilitas Jaringan,Negatif,Axis,2025-03-20 08:50
99,sinyal e mulu tidak menyambung menyambung ke internet,sinyal e mulu tidak menyambung menyambung ke internet,Stabilitas Jaringan,Negatif,Axis,2025-06-21 17:04
100,dari kemarin pagi sinyal ya e mulu ya ampun,dari kemarin pagi sinyal ya e mulu ya ampun,Stabilitas Jaringan,Negatif,Axis,2025-03-11 10:35
101,di gua tidak bisa mengirim pesan sama sekali abang tapi adek gua bisa loh,di gua tidak bisa mengirim pesan sama sekali abang,Kemudahan Akses Layanan,Negatif,Axis,2025-11-22 19:18
102,di gua tidak bisa mengirim pesan sama sekali abang tapi adek gua bisa loh,tapi adek gua bisa loh,Kemudahan Akses Layanan,Positif,Axis,2025-06-09 11:21
103,benerin sinyal min ilan mulu,benerin sinyal min ilan mulu,Stabilitas Jaringan,Negatif,Axis,2025-07-03 11:58
104,halo min saya beli kuota dan sudah bayar transaksi sukses kok kuota tidak masuk ada sms dibilang transaksi gagal tapi saldo sudah kepotong,halo min saya beli kuota,Harga,Negatif,Axis,2025-09-12 16:41
105,halo min saya beli kuota dan sudah bayar transaksi sukses kok kuota tidak masuk ada sms dibilang transaksi gagal tapi saldo sudah kepotong,dan sudah bayar transaksi sukses kok kuota tidak masuk ada sms dibilang transaksi gagal,Harga,Negatif,Axis,2025-09-23 19:08
106,halo min saya beli kuota dan sudah bayar transaksi sukses kok kuota tidak masuk ada sms dibilang transaksi gagal tapi saldo sudah kepotong,saldo sudah kepotong,Harga,Negatif,Axis,2025-06-20 09:19
107,sumpah gua sebulan masalah jaringan jaringan full bar kuota banyak tapi kayak lalot banget jaringannya gua tidak tau lagi sudah gua pakai diluar kuota juga kayak begitu kadang 10 menit pertama lancar tapi tiba tiba loading lagi sumpah ini kayak ya minggu terakhir gua pakai axis xl,sumpah gua sebulan masalah jaringan jaringan full bar kuota banyak,Stabilitas Jaringan,Negatif,Axis,2025-11-18 19:41
108,sumpah gua sebulan masalah jaringan jaringan full bar kuota banyak tapi kayak lalot banget jaringannya gua tidak tau lagi sudah gua pakai diluar kuota juga kayak begitu kadang 10 menit pertama lancar tapi tiba tiba loading lagi sumpah ini kayak ya minggu terakhir gua pakai axis xl,tapi kayak lalot banget jaringannya gua tidak tau lagi sudah gua pakai diluar kuota juga kayak begitu kadang 10 menit pertama lancar,Stabilitas Jaringan,Negatif,Axis,2025-10-26 17:52
109,sumpah gua sebulan masalah jaringan jaringan full bar kuota banyak tapi kayak lalot banget jaringannya gua tidak tau lagi sudah gua pakai diluar kuota juga kayak begitu kadang 10 menit pertama lancar tapi tiba tiba loading lagi sumpah ini kayak ya minggu terakhir gua pakai axis xl,tiba tiba loading lagi sumpah ini kayak ya minggu terakhir gua pakai axis xl,Stabilitas Jaringan,Negatif,Axis,2025-02-05 23:05
110,baru kemarin ganti dari xl ke axis,baru kemarin ganti dari xl ke axis,Kemudahan Akses Layanan,Netral,Axis,2025-10-21 20:32
111,kok sinyalnya sama jeleknya kayak xl,kok sinyalnya sama jeleknya kayak xl,Stabilitas Jaringan,Negatif,Axis,2025-08-12 07:23
112,ini sim gue tbtb no sim padahal kartu masih ada pulsa bagaimana ya,ini sim gue tbtb no sim,Penanganan Gangguan,Negatif,Axis,2025-05-10 12:13
113,ini sim gue tbtb no sim padahal kartu masih ada pulsa bagaimana ya,padahal kartu masih ada pulsa bagaimana ya,Penanganan Gangguan,Negatif,Axis,2025-07-11 22:12
114,woi di sekolah sinyal gue tidak ke ditage dari pagi sampai sore tolong perbaiki jaringannya,woi di sekolah sinyal gue tidak ke ditage dari pagi sampai sore tolong perbaiki jaringannya,Stabilitas Jaringan,Negatif,Axis,2025-12-08 11:09
115,ada yang jaringan ya hilang tidak,ada yang jaringan ya hilang tidak,Stabilitas Jaringan,Negatif,Axis,2025-04-03 16:54
116,tower ya roboh ya min nih jaringan sampai hilang tidak muncul lagi,tower ya roboh ya min nih jaringan sampai hilang tidak muncul lagi,Stabilitas Jaringan,Negatif,Axis,2025-08-26 10:32
117,sinyal kamu benerin dulu tuh ler,sinyal kamu benerin dulu tuh ler,Stabilitas Jaringan,Negatif,Axis,2025-07-25 23:02
118,tiba2 banget sudah 3 harian sinyal axis dan live on gue naio turun bahkan hilang total pas lgd rumah sblm2nya aman saja lagi ada tower yang rusak bagaimana min,tiba2 banget sudah 3 harian sinyal axis,Stabilitas Jaringan,Negatif,Axis,2025-12-22 17:56
119,tiba2 banget sudah 3 harian sinyal axis dan live on gue naio turun bahkan hilang total pas lgd rumah sblm2nya aman saja lagi ada tower yang rusak bagaimana min,dan live on gue naio turun bahkan,Stabilitas Jaringan,Negatif,Axis,2025-11-25 11:38
120,tiba2 banget sudah 3 harian sinyal axis dan live on gue naio turun bahkan hilang total pas lgd rumah sblm2nya aman saja lagi ada tower yang rusak bagaimana min,bahkan hilang total pas lgd rumah sblm2nya aman saja lagi ada tower yang rusak bagaimana min,Stabilitas Jaringan,Negatif,Axis,2025-07-13 11:10
121,tolong saya membeli paket belum masuk via aplikasi sedangkan saldonya sudah terpotong,tolong saya membeli paket belum masuk via aplikasi,Kemudahan Akses Layanan,Negatif,Axis,2025-05-06 12:46
122,tolong saya membeli paket belum masuk via aplikasi sedangkan saldonya sudah terpotong,saldonya sudah terpotong,Harga,Negatif,Axis,2025-07-15 08:26
123,wee jaringan gue kenapa lag mulu,wee jaringan gue kenapa lag mulu,Kecepatan Internet,Negatif,Axis,2025-09-12 14:28
124,ngapa ngelag mulu nih jaringan,ngapa ngelag mulu nih jaringan,Kecepatan Internet,Negatif,Axis,2025-01-20 16:48
125,woii sinyal hilang an terus kouta ya juga boros banget,woii sinyal hilang an terus kouta ya juga boros banget,Stabilitas Jaringan,Negatif,Axis,2025-08-24 21:14
126,sinyal kenapa ngelag begini woi axis,sinyal kenapa ngelag begini woi axis,Kecepatan Internet,Negatif,Axis,2025-02-18 14:19
127,kalau mau bikin simcard ulang bagaimana min daftar di web gagal terus,kalau mau bikin simcard ulang bagaimana min daftar di web gagal terus,Layanan Pelanggan,Negatif,Axis,2025-06-26 22:57
128,seharian ini kenapa ilang2an jaringannya kuota masih ada tapi seharian bikin emosi tidak bisa dpake,seharian ini kenapa ilang2an jaringannya kuota masih ada,Stabilitas Jaringan,Negatif,Axis,2025-05-27 13:23
129,seharian ini kenapa ilang2an jaringannya kuota masih ada tapi seharian bikin emosi tidak bisa dpake,tapi seharian bikin emosi tidak bisa dpake,Stabilitas Jaringan,Negatif,Axis,2025-01-22 21:29
130,hey kenapa hilang sinyal gua,hey kenapa hilang sinyal gua,Stabilitas Jaringan,Negatif,Axis,2025-09-25 16:49
131,kerja tidak sih ini orang axis,kerja tidak sih ini orang axis,Layanan Pelanggan,Negatif,Axis,2025-01-13 23:33
132,oi jaringan kau tolong apakan dulu aku mau menonton evos ngelag ngelag masak padahal dah ada ya logo kelen di jersey evos,oi jaringan kau tolong apakan dulu aku mau menonton evos ngelag ngelag masak,Stabilitas Jaringan,Negatif,Axis,2025-05-14 12:52
133,lagi ada kendala padahal kouta gue belum habis,lagi ada kendala,Stabilitas Jaringan,Negatif,Axis,2025-12-07 11:55
134,lagi ada kendala padahal kouta gue belum habis,padahal kouta gue belum habis,Harga,Netral,Axis,2025-05-09 08:41
135,tolong axis sinyalnya padahal kouta masihh banyak tidak bisa di pakai,tolong axis sinyalnya,Stabilitas Jaringan,Netral,Axis,2025-12-16 18:35
136,tolong axis sinyalnya padahal kouta masihh banyak tidak bisa di pakai,padahal kouta masihh banyak tidak bisa di pakai,Harga,Negatif,Axis,2025-07-30 10:45
137,ada harga tidak punya kualitas kelas king,ada harga tidak punya kualitas kelas king,Harga,Negatif,Axis,2025-09-28 23:54
138,ini srius axis gbisa login,ini srius axis gbisa login,Kemudahan Akses Layanan,Negatif,Axis,2025-04-04 16:05
139,silit silit coin alifetime gua tuker kuota malah tidak bisa di pakai,silit silit coin alifetime gua tuker kuota malah tidak bisa di pakai,Harga,Negatif,Axis,2025-08-25 12:17
140,percuma gua beli pocer cuman buat ngeleg doang lawak,percuma gua beli pocer cuman buat ngeleg doang lawak,Kecepatan Internet,Negatif,Axis,2025-03-15 23:09
